symbol,name,category,type,exchange
QUASX,"AB Cap Fund, Inc. - AB Small Ca",N/A,Mutual Fund,NAS
HSSAX,Emerald Banking and Finance Fu,N/A,Mutual Fund,NAS
ARTRX,Artisan Global Opportunities Fu,N/A,Mutual Fund,NAS
VFWSX,Vanguard FTSE All-World ex-US I,N/A,Mutual Fund,NAS
TWIEX,American Century International,N/A,Mutual Fund,NAS
MCLOX,BlackRock Global Alloc C,N/A,Mutual Fund,NAS
SHMMX,Western Asset Managed Municipal,N/A,Mutual Fund,NAS
GAUAX,Gabelli Utilities Fund Class A,N/A,Mutual Fund,NAS
FHCCX,Fidelity Advisor Series VII: Fi,N/A,Mutual Fund,NAS
FUNFX,American Funds Fundamental Inve,N/A,Mutual Fund,NAS
ADNYX,American Beacon ARK Disruptive,N/A,Mutual Fund,NAS
MDFGX,BlackRock Capital Appreciation,N/A,Mutual Fund,NAS
FSAVX,Fidelity Select Automotive Port,N/A,Mutual Fund,NAS
RICGX,The Investment Company of Ameri,N/A,Mutual Fund,NAS
TEMFX,Templeton Foreign Fund Class A,N/A,Mutual Fund,NAS
RWIGX,Capital World Growth and Income,N/A,Mutual Fund,NAS
INPAX,American Funds Conservative Gro,N/A,Mutual Fund,NAS
FAEGX,Fidelity Advisor Equity Growth,N/A,Mutual Fund,NAS
RFDTX,American Funds 2025 Target Date,N/A,Mutual Fund,NAS
FGDAX,Fidelity Advisor Gold Fund Clas,N/A,Mutual Fund,NAS
PHYAX,PIMCO Funds: High Yield Fund Ad,N/A,Mutual Fund,NAS
CGFAX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
QCSTIX,CREF Stock Account - R3,N/A,Mutual Fund,NAS
PFANX,PIMCO Preferred and Capital Sec,N/A,Mutual Fund,NAS
MMUFX,MFS Utilities Fund A,N/A,Mutual Fund,NAS
RFGTX,American Funds 2040 Target Date,N/A,Mutual Fund,NAS
SPECX,Alger Spectra Fund Class A,N/A,Mutual Fund,NAS
FFICX,The Investment Company of Ameri,N/A,Mutual Fund,NAS
USCRX,USAA Cornerstone Moderately Agg,N/A,Mutual Fund,NAS
AVEDX,Ave Maria Rising Dividend Fund,N/A,Mutual Fund,NAS
JGVVX,JPMorgan Growth Advantage Fund,N/A,Mutual Fund,NAS
RAFGX,"AMCAP Fund, Class R-6 Shares",N/A,Mutual Fund,NAS
NWFFX,American Funds New World Fund C,N/A,Mutual Fund,NAS
APGZX,"AB Cap Fund, Inc. - AB Large Ca",N/A,Mutual Fund,NAS
PHDAX,PIMCO Funds High Yield Cl A,N/A,Mutual Fund,NAS
MTCAX,MFS Technology Fund - Class A,N/A,Mutual Fund,NAS
